"Sex","model","round","age","incidence","lb","ub","irr","year","py","newinf","newinf.lb","newinf.ub"
"Male","tensorproductgam",7,15,0.002432413170418,0.00111461234197365,0.00530824360077184,1,2000,1,0.0116143150423244,0.00532206413251759,0.0253458640376348
"Male","tensorproductgam",7,43,0.00689637060348131,0.0039896593703319,0.0119207990171363,1,2000,1,0.12875113249867,0.0744845646715762,0.222554219022184
"Female","tensorproductgam",7,36,0.0088440302787764,0.0052836774754044,0.0148034909276758,1,2000,1,0.429042900962761,0.256322540780891,0.718149134702493
"Male","tensorproductgam",7,40,0.00878308278566163,0.00550561843762798,0.0140116036179618,1,2000,1,0.265476342104598,0.166412121975121,0.423512947138395
"Male","tensorproductgam",7,37,0.0104243181177432,0.00697728574703983,0.0155743095753263,1,2000,1,0.276141854504655,0.184829415587097,0.412565952053971
"Male","tensorproductgam",7,34,0.0125709805294116,0.00884128101815654,0.0178740559367261,1,2000,1,0.572107570865862,0.402368279451687,0.813451480539329
"Female","tensorproductgam",7,27,0.0153210548425895,0.0106670918679346,0.0220055029426764,1,2000,1,1.48309717956511,1.03258777062258,2.13016007608515
"Male","tensorproductgam",7,31,0.0154652305136853,0.0112414290246894,0.0212760632403702,1,2000,1,0.805377548530619,0.585416075232352,1.10798630772096
"Male","tensorproductgam",7,28,0.0181676353191887,0.0134015560356353,0.0246287052200045,1,2000,1,1.26718631400637,0.934753923467945,1.71784371703695
"Male","tensorproductgam",7,25,0.0176096800391469,0.0128989504163215,0.0240407801466348,1,2000,1,1.36777399534293,1.00188356105516,1.86728855034419
"Female","tensorproductgam",7,18,0.0112264613358088,0.00660390985943727,0.0190846690531827,1,2000,1,0.978049704565133,0.575332858128268,1.66265703598434
"Female","tensorproductgam",7,46,0.00740258079520967,0.0029188662460281,0.0187737970193649,1,2000,1,0.172372209892562,0.0679670292196276,0.437155766323609
"Male","tensorproductgam",7,19,0.00649140166808991,0.00429302654035015,0.00981552180505356,1,2000,1,0.401446084651033,0.265492536750334,0.607018791768135
