"Year","Sex","Age","model","seroconversions","Person-years","Incidence","lb","ub"
"Men",2004,"15-24","gamfit",12,1307,0.89,0.72,1.1
"Men",2004,"15-24","glmfit",12,1307,0.92,0.52,1.62
"Men",2004,"25-34","glmfit",27,1364,1.98,1.36,2.89
"Men",2004,"25-34","gamfit",27,1364,1.67,1.39,2.01
"Men",2004,"35-49","gamfit",8,812,0.99,0.74,1.33
"Men",2004,"35-49","glmfit",8,812,0.99,0.49,1.97
"Men",2005,"15-24","glmfit",9,1366,0.66,0.34,1.27
"Men",2005,"15-24","gamfit",9,1366,0.78,0.64,0.96
"Men",2005,"25-34","glmfit",31,1716,1.81,1.27,2.57
"Men",2005,"25-34","gamfit",31,1716,1.67,1.41,1.99
"Men",2005,"35-49","glmfit",10,1090,0.92,0.49,1.71
"Men",2005,"35-49","gamfit",10,1090,0.98,0.75,1.28
"Men",2007,"15-24","glmfit",11,1547,0.71,0.39,1.28
"Men",2007,"15-24","gamfit",11,1547,0.69,0.56,0.84
"Men",2007,"25-34","gamfit",27,2071,1.62,1.37,1.91
"Men",2007,"25-34","glmfit",27,2071,1.3,0.89,1.9
"Men",2007,"35-49","glmfit",11,1401,0.79,0.43,1.42
"Men",2007,"35-49","gamfit",11,1401,0.94,0.73,1.21
"Men",2009,"15-24","glmfit",12,1776,0.68,0.38,1.19
"Men",2009,"15-24","gamfit",12,1776,0.6,0.49,0.74
"Men",2009,"25-34","glmfit",43,2159,1.99,1.48,2.69
"Men",2009,"25-34","gamfit",43,2159,1.5,1.27,1.77
"Men",2009,"35-49","glmfit",16,1633,0.98,0.6,1.6
"Men",2009,"35-49","gamfit",16,1633,0.87,0.68,1.12
"Men",2010,"15-24","gamfit",16,1728,0.52,0.42,0.65
"Men",2010,"15-24","glmfit",16,1728,0.93,0.57,1.51
"Men",2010,"25-34","glmfit",21,1966,1.07,0.7,1.64
"Men",2010,"25-34","gamfit",21,1966,1.33,1.11,1.58
"Men",2010,"35-49","gamfit",19,1680,0.76,0.59,0.98
"Men",2010,"35-49","glmfit",19,1680,1.13,0.72,1.77
"Men",2012,"15-24","glmfit",8,1873,0.43,0.21,0.85
"Men",2012,"15-24","gamfit",8,1873,0.45,0.36,0.57
"Men",2012,"25-34","glmfit",24,2046,1.17,0.79,1.75
"Men",2012,"25-34","gamfit",24,2046,1.13,0.94,1.35
"Men",2012,"35-49","glmfit",11,1839,0.6,0.33,1.08
"Men",2012,"35-49","gamfit",11,1839,0.62,0.48,0.81
"Men",2014,"15-24","glmfit",5,2373,0.21,0.09,0.51
"Men",2014,"15-24","gamfit",5,2373,0.39,0.3,0.5
"Men",2014,"25-34","gamfit",27,2552,0.93,0.76,1.13
"Men",2014,"25-34","glmfit",27,2552,1.06,0.73,1.54
"Men",2014,"35-49","glmfit",9,2608,0.35,0.18,0.66
"Men",2014,"35-49","gamfit",9,2608,0.49,0.38,0.64
"Men",2016,"15-24","glmfit",5,2265,0.22,0.09,0.53
"Men",2016,"15-24","gamfit",5,2265,0.33,0.25,0.45
"Men",2016,"25-34","glmfit",12,2125,0.56,0.32,0.99
"Men",2016,"25-34","gamfit",12,2125,0.74,0.59,0.93
"Men",2016,"35-49","glmfit",10,2388,0.42,0.23,0.78
"Men",2016,"35-49","gamfit",10,2388,0.38,0.28,0.51
"Men",2017,"15-24","gamfit",6,2329,0.29,0.2,0.41
"Men",2017,"15-24","glmfit",6,2329,0.26,0.12,0.57
"Men",2017,"25-34","glmfit",13,2054,0.63,0.37,1.09
"Men",2017,"25-34","gamfit",13,2054,0.59,0.44,0.78
