"round","Year","Sex","Model","Agecat","Incidence","95pctlb","95pctub","py","seroconversions"
7,2000,"Female","tensorproductgam","[15,20)",0.0103752841549957,0.00575576828527837,0.0187023722918509,445.407269587605,3
8,2001,"Female","tensorproductgam","[15,20)",0.0121953929689541,0.00798561997362095,0.0186244286803666,548.045992111981,6
9,2003,"Female","tensorproductgam","[15,20)",0.0139920827149648,0.009898925771858,0.0197777398492068,548.828951197062,9
10,2004,"Female","tensorproductgam","[15,20)",0.0153288562411622,0.0110827726628702,0.0212017191735271,447.199224393485,5
11,2005,"Female","tensorproductgam","[15,20)",0.0156046036528034,0.0113101291203857,0.0215296971917135,469.42052203077,13
12,2007,"Female","tensorproductgam","[15,20)",0.0145801099122403,0.0105543166093849,0.0201414845622484,511.454437730081,7
13,2009,"Female","tensorproductgam","[15,20)",0.0127064530206998,0.00916061834444091,0.0176247871373475,573.628548027648,5
14,2010,"Female","tensorproductgam","[15,20)",0.0104860639783319,0.00748284009312451,0.0146946261565447,679.256074551616,6
15,2012,"Female","tensorproductgam","[15,20)",0.00821398370523719,0.00573837605346637,0.0117575996555935,716.942676718044,6
16,2014,"Female","tensorproductgam","[15,20)",0.00611147296825128,0.00409370751146392,0.00912378369413833,730.579582948353,8
17,2016,"Female","tensorproductgam","[15,20)",0.00433308538923975,0.00267507905297083,0.00701871930460956,810.594293549522,3
18,2017,"Female","tensorproductgam","[15,20)",0.00297936161603458,0.00159498163739647,0.00556532779498936,810.629744578046,0
19,2019,"Female","tensorproductgam","[15,20)",0.00203514016376541,0.000878195954201005,0.00471625434660464,828.310436074025,2
7,2000,"Female","tensorproductgam","[20,25)",0.0203146828174957,0.0132936263770808,0.0310439248305456,611.724775601012,13
8,2001,"Female","tensorproductgam","[20,25)",0.0186318863388281,0.0140653331913929,0.0246810497710387,941.199644423063,18
9,2003,"Female","tensorproductgam","[20,25)",0.0172368641053242,0.0134516046489537,0.0220872893561085,1020.8059194203,16
10,2004,"Female","tensorproductgam","[20,25)",0.0160201739738837,0.0125502056587922,0.0204495433087746,1160.00566579744,23
11,2005,"Female","tensorproductgam","[20,25)",0.015110104208253,0.0118645345548161,0.0192435066145589,1214.25823135179,14
12,2007,"Female","tensorproductgam","[20,25)",0.0149583902664139,0.0117687922999974,0.0190124384608602,1241.73367804767,15
13,2009,"Female","tensorproductgam","[20,25)",0.0155201426108835,0.012200256614346,0.0197434229685728,1211.16440430541,22
14,2010,"Female","tensorproductgam","[20,25)",0.0159731281829482,0.0125201493539977,0.0203784169609309,1017.71774307557,14
15,2012,"Female","tensorproductgam","[20,25)",0.0156252196778155,0.0122380553743881,0.0199498598846795,1130.97413883842,20
16,2014,"Female","tensorproductgam","[20,25)",0.0142126574386658,0.0110946795761684,0.0182068918784065,1470.57422499477,21
17,2016,"Female","tensorproductgam","[20,25)",0.0116858637754615,0.00893936634530891,0.0152761847880086,1261.10354344305,20
18,2017,"Female","tensorproductgam","[20,25)",0.00880493039700102,0.00628751173384241,0.0123302830400691,1253.90280693698,7
19,2019,"Female","tensorproductgam","[20,25)",0.00643532176229455,0.00385023354706461,0.0107560660095113,1170.4327093885,7
7,2000,"Female","tensorproductgam","[25,30)",0.01499221994641,0.0104305081174598,0.0215489654377712,451.932880418786,4
8,2001,"Female","tensorproductgam","[25,30)",0.015677625225757,0.0117998869992836,0.0208296852956485,742.069544830432,16
9,2003,"Female","tensorproductgam","[25,30)",0.0162787273395307,0.012907484482349,0.0205304886600614,846.260402997559,9
10,2004,"Female","tensorproductgam","[25,30)",0.016657203875329,0.013647996900825,0.0203299021065504,950.311050315927,19
11,2005,"Female","tensorproductgam","[25,30)",0.0166456732171409,0.0139263213755885,0.0198960248998371,1204.78092542327,25
12,2007,"Female","tensorproductgam","[25,30)",0.0162113925760059,0.0137350219341686,0.0191342431423128,1499.34597190182,18
13,2009,"Female","tensorproductgam","[25,30)",0.0154242045453354,0.0131264752470664,0.0181241408206302,1624.93221650285,24
14,2010,"Female","tensorproductgam","[25,30)",0.0142692123839359,0.0120947108872885,0.0168346663227694,1355.3870158657,20
15,2012,"Female","tensorproductgam","[25,30)",0.0128255565804746,0.0107427729418229,0.0153121454292826,1392.25730686215,18
16,2014,"Female","tensorproductgam","[25,30)",0.0113092266849178,0.0092860793061654,0.0137731548475942,1619.12101367969,18
17,2016,"Female","tensorproductgam","[25,30)",0.0098294723890852,0.0078286295911355,0.0123416910102876,1405.95676176303,21
18,2017,"Female","tensorproductgam","[25,30)",0.00843226499099271,0.00641056187697551,0.0110915539453255,1284.9505576651,9
19,2019,"Female","tensorproductgam","[25,30)",0.00718963743784437,0.00509462577093659,0.0101461596615271,1307.19545048098,6
7,2000,"Female","tensorproductgam","[30,35)",0.0108584663305979,0.00675535339641151,0.0174537561743788,247.0729553169,2
8,2001,"Female","tensorproductgam","[30,35)",0.0114865141628993,0.00779342415980092,0.016929658248943,435.360511293596,3
9,2003,"Female","tensorproductgam","[30,35)",0.0120649074616457,0.00873895722746497,0.0166566774809927,526.615129472963,6
10,2004,"Female","tensorproductgam","[30,35)",0.0124870988585687,0.00950406362941899,0.0164064177159975,638.98665787475,11
11,2005,"Female","tensorproductgam","[30,35)",0.0126198131828982,0.00997599023573664,0.0159642983812015,902.54647254353,8
12,2007,"Female","tensorproductgam","[30,35)",0.0124275044265767,0.0100967985186762,0.0152962214693012,1181.93289720275,17
13,2009,"Female","tensorproductgam","[30,35)",0.011952871854756,0.0098648413360849,0.0144828629988812,1270.783269926,20
14,2010,"Female","tensorproductgam","[30,35)",0.0111753177253429,0.00925093376648095,0.0135000130165097,1313.64917438695,16
15,2012,"Female","tensorproductgam","[30,35)",0.0101495600063671,0.00832667686546623,0.0123715102660079,1368.42092937612,13
16,2014,"Female","tensorproductgam","[30,35)",0.00904259228975825,0.00726968981614906,0.0112478630294724,1747.97523969591,9
17,2016,"Female","tensorproductgam","[30,35)",0.00794125393726095,0.00617857115089641,0.0102068119887092,1367.52869491747,13
18,2017,"Female","tensorproductgam","[30,35)",0.00688341879345952,0.00509804279713523,0.00929404796538331,1347.83691294288,11
19,2019,"Female","tensorproductgam","[30,35)",0.00593003848997085,0.00408440219841858,0.00860967034689953,1383.23260417555,7
7,2000,"Female","tensorproductgam","[35,40)",0.0104134040547855,0.00604420760190589,0.0179409760799792,256.014098564465,2
8,2001,"Female","tensorproductgam","[35,40)",0.010859055400512,0.00686214599984552,0.0171839952391051,345.482037923816,5
9,2003,"Female","tensorproductgam","[35,40)",0.0112439149812745,0.0075915944519502,0.0166533690526172,347.626014774472,2
10,2004,"Female","tensorproductgam","[35,40)",0.0114732127616109,0.00816864317736591,0.0161146237159596,378.446291057986,5
11,2005,"Female","tensorproductgam","[35,40)",0.0114332646850816,0.00850411332591008,0.0153713310664454,482.934038626823,9
12,2007,"Female","tensorproductgam","[35,40)",0.0111038899209844,0.00855078072317271,0.0144193115656918,674.560647267811,4
13,2009,"Female","tensorproductgam","[35,40)",0.0105352259364418,0.0083028740864758,0.0133677789613435,834.293984963402,10
14,2010,"Female","tensorproductgam","[35,40)",0.00971914502886635,0.00772762041581543,0.0122239156440463,897.447210529269,13
15,2012,"Female","tensorproductgam","[35,40)",0.00871152710004956,0.00688422213254318,0.0110238604963292,995.506069445113,4
16,2014,"Female","tensorproductgam","[35,40)",0.00766034425321595,0.00593243935945066,0.00989152531062913,1363.52605264476,8
17,2016,"Female","tensorproductgam","[35,40)",0.0066397553610441,0.00496869607220496,0.00887282108099432,1299.20388809126,8
18,2017,"Female","tensorproductgam","[35,40)",0.00568040401851602,0.00403937981620567,0.00798810492742484,1293.13246781787,10
19,2019,"Female","tensorproductgam","[35,40)",0.004830117957671,0.0031916863158219,0.00730962794475248,1391.00495037404,7
7,2000,"Female","tensorproductgam","[40,45)",0.00557016862214265,0.00274030746133536,0.0113223712728874,218.355906523351,1
8,2001,"Female","tensorproductgam","[40,45)",0.00605669029947868,0.00328209216764628,0.0111768638752477,337.201323540234,1
9,2003,"Female","tensorproductgam","[40,45)",0.00653925412550372,0.00384138278492826,0.0111318884141654,356.460233094677,4
10,2004,"Female","tensorproductgam","[40,45)",0.0069576326857565,0.00437727212712004,0.0110590914122027,391.406941081133,3
11,2005,"Female","tensorproductgam","[40,45)",0.00722956343659862,0.00482240158748064,0.010838290120734,416.165926978215,1
12,2007,"Female","tensorproductgam","[40,45)",0.00732120421397243,0.00512199039603259,0.0104646879432272,469.023993749462,5
13,2009,"Female","tensorproductgam","[40,45)",0.00724293247820595,0.00524062523230446,0.0100102694923641,477.643842615944,2
14,2010,"Female","tensorproductgam","[40,45)",0.00696719349524869,0.00512208616437493,0.0094769559984861,490.79938983379,8
15,2012,"Female","tensorproductgam","[40,45)",0.00651146639768835,0.00477046799495221,0.00888784804616413,619.284280776548,3
16,2014,"Female","tensorproductgam","[40,45)",0.00597011846385659,0.00427824007850704,0.00833106927578484,920.898131481312,5
17,2016,"Female","tensorproductgam","[40,45)",0.00539555824070934,0.00371738635668835,0.00783132177706194,912.137736474505,1
18,2017,"Female","tensorproductgam","[40,45)",0.00481301847599995,0.00313228175385733,0.00739561401901013,974.941190805737,4
19,2019,"Female","tensorproductgam","[40,45)",0.00426730751981397,0.00256771338118138,0.00709187933595713,1223.57486569497,8
7,2000,"Female","tensorproductgam","[45,50)",0.00715972835895021,0.00201475610455077,0.0254431343119746,145.228688179138,2
8,2001,"Female","tensorproductgam","[45,50)",0.00668884787301455,0.00272828836290561,0.0163988112388101,232.743067221367,1
9,2003,"Female","tensorproductgam","[45,50)",0.0065055366471976,0.0032042691303919,0.0132080063645761,219.761221081314,2
10,2004,"Female","tensorproductgam","[45,50)",0.00677387375202872,0.00366378896395736,0.0125240198220537,288.152508162499,0
11,2005,"Female","tensorproductgam","[45,50)",0.00769618144542875,0.00445079288463569,0.0133080128364162,421.390050611174,2
